tsexec_date,tsexec_time,command,resp_fname
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,09:40:44,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,09:40:51,CTS1+fs_get_filesystem_stats_json()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,09:41:05,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,09:41:12,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,09:41:19,CTS1+adcs_identification()!,
2026-05-28,09:41:26,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,09:41:33,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,09:41:40,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,09:41:54,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,09:42:01,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,09:42:08,CTS1+adcs_identification()!,
2026-05-28,09:42:15,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,09:42:22,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,09:42:29,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,09:42:43,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,09:42:50,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,09:42:57,CTS1+adcs_identification()!,
2026-05-28,09:43:04,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,09:43:11,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,09:43:18,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,09:43:32,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,09:43:39,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,09:43:46,CTS1+adcs_identification()!,
2026-05-28,09:43:53,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,09:44:00,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,09:44:07,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,09:44:21,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,09:44:28,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,09:44:35,CTS1+adcs_identification()!,
2026-05-28,09:44:42,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,09:44:49,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,09:44:56,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,09:45:10,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,09:45:17,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,09:45:24,CTS1+adcs_identification()!,
2026-05-28,09:45:31,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,09:45:38,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,09:45:45,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,09:45:59,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,09:46:06,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,09:46:13,CTS1+adcs_identification()!,
2026-05-28,09:46:20,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,09:46:27,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,09:46:34,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,09:46:48,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,09:46:55,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,09:47:02,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,09:47:16,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,09:47:23,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,09:47:30,CTS1+adcs_identification()!,
2026-05-28,09:47:37,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,09:47:44,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,09:47:51,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,14:20:28,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,14:20:35,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,14:20:42,CTS1+adcs_identification()!,
2026-05-28,14:20:49,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,14:20:56,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,14:21:03,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,14:21:17,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,14:21:24,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,14:21:31,CTS1+adcs_identification()!,
2026-05-28,14:21:38,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,14:21:45,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,14:21:52,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,14:22:06,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,14:22:13,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,14:22:20,CTS1+adcs_identification()!,
2026-05-28,14:22:27,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,14:22:34,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,14:22:41,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,14:22:55,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,14:23:02,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,14:23:09,CTS1+adcs_identification()!,
2026-05-28,14:23:16,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,14:23:23,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,14:23:30,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,14:23:44,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,14:23:51,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,14:23:58,CTS1+adcs_identification()!,
2026-05-28,14:24:05,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,14:24:12,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,14:24:19,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,14:24:33,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,14:24:40,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,14:24:47,CTS1+adcs_identification()!,
2026-05-28,14:24:54,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,14:25:01,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,14:25:08,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,14:25:22,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,14:25:29,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,14:25:36,CTS1+adcs_identification()!,
2026-05-28,14:25:43,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,14:25:50,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,14:25:57,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,14:26:11,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,14:26:18,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,14:26:25,CTS1+adcs_identification()!,
2026-05-28,14:26:32,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,14:26:39,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,14:26:46,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,14:27:00,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,14:27:07,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,14:27:14,CTS1+adcs_identification()!,
2026-05-28,14:27:21,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,14:27:28,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,14:27:35,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,14:27:49,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,14:27:56,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,14:28:03,CTS1+adcs_identification()!,
2026-05-28,14:28:10,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,14:28:17,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,14:28:24,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,14:28:38,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,14:28:45,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,14:28:52,CTS1+adcs_identification()!,
2026-05-28,14:28:59,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,14:29:06,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,14:29:13,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,14:29:27,"CTS1+fs_list_directory_json(/,0,20)!",
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,15:52:49,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,15:52:56,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,15:53:03,CTS1+adcs_identification()!,
2026-05-28,15:53:10,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,15:53:17,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,15:53:24,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,15:53:38,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,15:53:45,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,15:53:52,CTS1+adcs_identification()!,
2026-05-28,15:53:59,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,15:54:06,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,15:54:13,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,15:54:27,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,15:54:34,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,15:54:41,CTS1+adcs_identification()!,
2026-05-28,15:54:48,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,15:54:55,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,15:55:02,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,15:55:16,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,15:55:23,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,15:55:30,CTS1+adcs_identification()!,
2026-05-28,15:55:37,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,15:55:44,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,15:55:51,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,15:56:05,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,15:56:12,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,15:56:19,CTS1+adcs_identification()!,
2026-05-28,15:56:26,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,15:56:33,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,15:56:40,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,15:56:54,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,15:57:01,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,15:57:08,CTS1+adcs_identification()!,
2026-05-28,15:57:15,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,15:57:22,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,15:57:29,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,15:57:43,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,15:57:50,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,15:57:57,CTS1+adcs_identification()!,
2026-05-28,15:58:04,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,15:58:11,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,15:58:18,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,15:58:32,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,15:58:39,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,15:58:46,CTS1+adcs_identification()!,
2026-05-28,15:58:53,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,15:59:00,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,15:59:07,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,15:59:21,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,15:59:28,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,15:59:35,CTS1+adcs_identification()!,
2026-05-28,15:59:42,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,15:59:49,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,15:59:56,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,16:00:10,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,16:00:17,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,16:00:24,CTS1+adcs_identification()!,
2026-05-28,16:00:31,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,16:00:38,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,16:00:45,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,16:00:59,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,16:01:06,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,16:01:13,CTS1+adcs_identification()!,
2026-05-28,16:01:20,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,16:01:27,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,16:01:34,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,16:01:48,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,16:01:55,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,16:02:02,CTS1+adcs_identification()!,
2026-05-28,16:02:09,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,16:02:16,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,16:02:23,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,16:02:37,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,16:02:44,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,16:02:51,CTS1+adcs_identification()!,
2026-05-28,16:02:58,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,16:03:05,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,16:03:12,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,16:03:26,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,16:03:33,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,16:03:40,CTS1+adcs_identification()!,
2026-05-28,16:03:47,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,16:03:54,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,22:36:40,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,22:36:47,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,22:36:54,CTS1+adcs_identification()!,
2026-05-28,22:37:01,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,22:37:08,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,22:37:15,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,22:37:29,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,22:37:36,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,22:37:43,CTS1+adcs_identification()!,
2026-05-28,22:37:50,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,22:37:57,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,22:38:04,CTS1+obc_adc_read_vbat_voltage()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,22:38:18,"CTS1+fs_list_directory_json(/,0,20)!",
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,22:38:25,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,22:38:30,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,22:38:32,CTS1+adcs_identification()!,
2026-05-28,22:38:37,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,22:38:39,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,22:38:44,CTS1+adcs_identification()!,
2026-05-28,22:38:46,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,22:38:51,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,22:38:53,CTS1+obc_adc_read_vbat_voltage()!,
2026-05-28,22:38:58,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,22:39:05,CTS1+obc_adc_read_vbat_voltage()!,
2026-05-28,22:39:07,"CTS1+fs_list_directory_json(/,0,20)!",
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,22:39:14,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,22:39:19,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,22:39:21,CTS1+adcs_identification()!,
2026-05-28,22:39:26,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,22:39:28,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,22:39:33,CTS1+adcs_identification()!,
2026-05-28,22:39:35,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,22:39:40,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,22:39:42,CTS1+obc_adc_read_vbat_voltage()!,
2026-05-28,22:39:47,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,22:39:54,CTS1+obc_adc_read_vbat_voltage()!,
2026-05-28,22:39:56,"CTS1+fs_list_directory_json(/,0,20)!",
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,22:40:03,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,22:40:08,"CTS1+fs_list_directory_json(/,0,20)!",
2026-05-28,22:40:10,CTS1+adcs_identification()!,
2026-05-28,22:40:15,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,22:40:17,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,22:40:22,CTS1+adcs_identification()!,
2026-05-28,22:40:24,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
2026-05-28,22:40:29,CTS1+eps_get_pbu_housekeeping_data_eng_json()!,
2026-05-28,22:40:31,CTS1+obc_adc_read_vbat_voltage()!,
2026-05-28,22:40:36,CTS1+eps_get_pcu_housekeeping_data_eng_json()!,
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,22:40:43,CTS1+obc_adc_read_vbat_voltage()!,
2026-05-28,22:40:45,"CTS1+fs_list_directory_json(/,0,20)!",
,,"CTS1+config_set_int_var(TCMD_require_unique_tssent,1)!",
2026-05-28,22:40:52,CTS1+fs_get_filesystem_stats_json()!,
2026-05-28,22:40:57,"CTS1+fs_list_directory_json(/,0,20)!",
